id,nom,id_parent
40,"Animaux",4
400,"Sauvages",40
401,"Domestiques",40
402,"Menacés",40
403,"Invertébrés",40
4030,"Insecte",403
4031,"Arachnides",403
4032,"Crustacés",403
4033,"Mollusques",403
4034,"Annélides",403
404,"Vertébrés",40
4040,"Mammifères",404
4041,"Oiseaux",404
4042,"Poissons",404
4043,"Reptiles",404
4044,"Amphibiens",404
41,"Plantes",4
410,"Arbres",41
411,"Fleurs",41
42,"Ecosystèmes",4
420,"Forêt",42
421,"Désert",42
422,"Marin",42
423,"Montagne",42
43,"Protection et Conservation",4
430,"Réserves Naturelles",43
431,"Espèces Protégées",43
432,"Changement Climatique",43
5,"Sports",NULL
50,"Sports collectifs",5
500,"Football",50
5000,"Football à 11",500
5001,"Football à 5",500
5002,"Football freestyle",500
501,"Basketball",50
5010,"Streetbasket",501
5011,"NBA",501
502,"Handball",50
503,"Rugby",50
504,"Volleyball",50
51,"Sports individuels",5
510,"Tennis",51
511,"Tennis de table",51
512,"Athlétisme",51
52,"Sports de motricité",5
520,"Automobile",52
521,"Moto",52
53,"Sport aquatique",5
530,"Natation",53
531,"Plongée",53
532,"Surf",54
533,"Aviron",53
534,"Polo aquatique",53
54,"Sport de combat",5
540,"Boxe",54
541,"MMA",54
542,"Lutte",54
543,"Arts martiaux",54
5430,"Judo",543
5431,"Karaté",543
5432,"Taekwondo",543
55,"Sport d'hiver",5
550,"Ski",55
551,"Snowboard",55
552,"Luge",55
553,"Bobsleigh",55
554,"Biathlon",55
555,"Hockey sur glace",55
556,"Escalade sur glace",55
6,"Arts",NULL
60,"Arts visuels",6
600,"Peinture",60
6000,"Peinture à huile",600
6001,"Peinture acrylique",600
6002,"Fresque",600
6003,"Aquarelle",600
601,"Dessin",60
6010,"Crayon",601
6011,"Encre",601
6012,"Fusain",601
602,"Sculpture",60
6020,"Sculpture sur pierre",602
6021,"Sculpture de bois",602
6022,"Modelage",602
603,"Photographie",60
604,"Cinéma",60
6040,"Fiction",604
6041,"Documentaire",604
6042,"Animation",604
605,"BD et Illustration",60
6050,"Manga",605
6051,"Comics",605
6052,"Roman graphique",605
606,"Art numérique",60
61,"Arts interactifs et immersifs",6
610,"Jeu vidéo",61
6100,"Jeu narratif",610
6101,"Jeu en monde ouvert",610
611,"Réalité virtuelle",61
62,"Arts du spectacle",6
620,"Théâtre",62
6200,"Tragédie",620
6201,"Comédie",620
6202,"Théâtre expérimental",620
621,"Danse",62
6210,"Danse classique",621
6211,"Danse contemporaine",621
6212,"Danse urbaine",621
622,"Musique",62
6220,"Musique classique",622
6221,"Musique contemporaine",622
6222,"Musique électronique",622
623,"Cirque",62
624,"Opéra et Comédie musicale",62
63,"Arts littéraires",6
630,"Poésie",63
6300,"Poésie classique",630
6301,"Poésie contemporaine",630
6302,"Slam",630
631,"Roman",63
6310,"Roman historique",631
6311,"Roman science-fiction",631
632,"Théâtre littéraire",63
6320,"Théâtre classique",632
6321,"Théâtre contemporain",632
633,"Essai et Philosophie",63
6330,"Philosophie antique",633
6331,"Philosophie moderne",633
64,"Arts appliqués et artisanat",6
640,"Design",64
6400,"Design graphique",640
6401,"Design industriel",640
6402,"Design textile",640
641,"Mode",64
6410,"Haute couture",641
6411,"Prêt-à-porter",641
642,"Architecture",64
6420,"Architecture classique",642
6421,"Architecture contemporaine",642
643,"Artisanat",64
7,"Jeunesse",NULL
70,"Littérature jeunesse",7
700,"Contes et Fables",70
701,"Romans jeunesse",70
7010,"Premières lectures",701
7011,"Romans pour pré-adolescents",701
7012,"Romans pour adolescents",701
702,"BD et mangas",70
7020,"Mangas",702
7021,"Comics",702
703,"Livres audio",70
7030,"Histoire racontées pour les petits",703
7031,"Podcasts narratifs pour enfants",703
704,"Education et apprentissage",70
7040,"Divertissement et Activités",704
70400,"Jeux interactifs",7040
704000,"Quiz éducatifs",70400
704001,"Escape games culturels",70400
704002,"Jeux de logique et casse-têtes",70400
70401,"Evenements et Actualités pour jeunes",7040
704010,"Festivals et salons du livre jeunesse",70401
704011,"Expositions adaptées aux enfants",70401
704012,"Conférences et ateliers interactifs",70401
704013,"Concours et Défis créatifs",70401
8,"Voyage et culture",NULL
80,"Traditions et patrimoines",8
81,"Gastronomie du monde",8
82,"Festivals et événements culturels",8
820,"Célébrations religieuses et locales",82
83,"Artisanat et savoir-faire",8
830,"Métiers d’art et traditions manuelles",83
831,"Objets artisanaux emblématiques",83
84,"Coutumes et folklore",8
840,"Danses et musiques traditionnelles",84
841,"Légendes et contes populaires",84
842,"Tenues vestimentaires traditionnelles",84
85,"Photographie et carnets de voyage",8
86,"Expressions et proverbes du monde",8
860,"Proverbes et citations typiques",86
861,"Expressions drôles et insolites",86
87,"Conseils pour les voyageurs",8
